episode,time_s,cars_completed,total_cars,average_reward,best_reward,worst_reward,epsilon,max_q,loss
1,0.962000,0,14,-8939.519605,-7556.883080,-10486.187757,1.000000,13.363958,47.836524
2,1.175000,0,14,-7820.120949,-5825.489938,-9820.494470,0.992000,9.591691,16.454512
3,1.170000,0,14,-7115.957129,-5375.365466,-10143.062119,0.984064,49.673637,1.739121
4,1.170000,0,14,-5987.069804,-3705.362642,-7415.715364,0.976191,90.112896,36.045546
5,1.183000,0,14,-5276.704231,-3328.323017,-7362.025087,0.968382,125.651964,22.144810
6,1.168000,0,14,-6710.631859,-3938.011775,-13666.683352,0.960635,113.945679,1669.972268
7,1.176000,0,14,-4604.340790,-3677.707073,-7947.151845,0.952950,185.993615,44.935500
8,1.186000,0,14,-3706.705040,-2178.288234,-4679.738032,0.945326,193.723141,24.253047
9,1.166000,0,14,-5251.787238,-2681.223502,-21112.463555,0.937764,193.210791,1621.383577
10,1.191000,0,14,-2788.870747,-1092.203532,-3602.129068,0.930262,254.176488,43.432693
11,1.173000,0,14,-4160.281024,-1592.962694,-15549.752172,0.922819,226.416375,129.717639
12,1.191000,0,14,-2266.722338,-371.024267,-4285.256460,0.915437,305.725870,41.000884
13,1.170000,0,14,-1391.360747,-671.469087,-2747.075044,0.908113,353.091920,50.205273
14,1.173000,0,14,-1939.879588,-814.641297,-3388.495269,0.900848,316.843548,33.646288
15,1.168000,0,14,-1654.024412,-664.735407,-3120.098001,0.893642,378.576057,89.564782
16,1.174000,0,14,-1359.624869,-677.257877,-3154.746247,0.886493,353.374360,39.757313
17,1.184000,1,14,-3929.360151,1281.433310,-15711.053778,0.879401,391.121065,2233.136203
18,1.183000,0,14,-3395.348159,-792.856391,-11072.240934,0.872365,351.319330,378.573888
19,1.183000,0,14,-3171.463200,928.849685,-9798.862469,0.865386,280.879164,2330.916456
20,1.155000,4,14,-2218.291512,2820.520473,-6736.129828,0.858463,472.177096,330542.327332
21,1.156000,2,14,-3592.910727,1452.287146,-18735.918720,0.851596,486.112519,1044.952177
22,1.188000,0,14,-1760.114534,2776.687643,-8466.739914,0.844783,394.902001,54.524682
23,1.044000,14,14,7210.370635,10472.141553,612.621394,0.838025,681.674623,590191.216633
24,1.131000,7,14,2354.921222,8883.519324,-7058.142136,0.831320,793.413172,433.268549
25,0.782000,0,14,-703.614467,1662.275712,-2267.551760,0.824670,802.335382,282.336699
