episode,time_s,cars_completed,total_cars,average_reward,best_reward,worst_reward,epsilon,max_q,loss
1,1.368000,0,14,-8093.530989,-6632.730799,-11878.216554,1.000000,11.589223,33.628887
2,1.617000,0,14,-7270.399137,-6402.592436,-8485.440592,0.992000,30.095883,19.397116
3,1.591000,0,14,-7261.100557,-5185.168561,-10260.644237,0.984064,68.571777,34.957107
4,1.611000,0,14,-6023.384596,-3956.488013,-7405.934493,0.976191,98.631346,21.745465
5,1.609000,0,14,-5707.271482,-4082.324564,-8217.375061,0.968382,136.895029,20.708043
6,1.570000,0,14,-6640.456704,-4008.911151,-14822.770040,0.960635,151.893461,28.154141
7,1.597000,0,14,-4558.147159,-3222.709546,-6370.629440,0.952950,182.393628,84.781849
8,1.590000,0,14,-3856.878411,-2225.019485,-5381.150965,0.945326,182.806315,24.041145
9,1.637000,0,14,-3872.147895,-1877.767878,-7264.234102,0.937764,158.256638,24.214640
10,1.647000,0,14,-2697.919525,-1799.085813,-4883.624696,0.930262,248.546308,41.923696
11,1.669000,0,14,-1609.530580,-146.420990,-2919.363710,0.922819,313.774629,36.707830
12,1.652000,0,14,-2309.344802,-390.845789,-4897.149452,0.915437,300.307564,599.716887
13,1.631000,0,14,-2040.601997,-916.281602,-4460.788315,0.908113,341.110794,59.228527
14,1.619000,0,14,-1254.981185,-667.431144,-2045.247630,0.900848,363.201499,64.783887
15,1.631000,0,14,-1370.153841,-30.460433,-2654.032363,0.893642,170.451977,144.986421
16,1.590000,0,14,-4819.351119,-570.519942,-16710.243059,0.886493,279.116283,520.823501
17,1.637000,0,14,-4831.380942,-133.896729,-11391.678899,0.879401,313.955453,1559.786237
18,1.611000,0,14,-4063.090180,398.546472,-9192.682744,0.872365,405.683366,941.571186
19,1.605000,0,14,-2698.976943,1228.700850,-7565.863492,0.865386,397.977139,539.600126
20,1.571000,6,14,-3971.135664,3828.144931,-13627.138705,0.858463,544.766265,314235.424855
21,1.512000,10,14,869.523634,5233.807473,-9971.917486,0.851596,650.145367,1414.907650
22,1.545000,4,14,-476.554380,8375.957101,-9995.254900,0.844783,622.657203,310985.539698
23,1.533000,10,14,3154.764848,10020.581027,-14901.178828,0.838025,669.031678,296681.557392
24,1.564000,2,14,-439.909860,9210.166099,-7183.951042,0.831320,523.535587,179.548833
25,1.394000,14,14,6719.856140,9724.062612,2557.584621,0.824670,715.212007,291404.093407
