episode,time_s,cars_completed,total_cars,average_reward,best_reward,worst_reward,epsilon,max_q,loss
1,0.975000,0,14,-8534.226172,-6675.753251,-11600.992915,1.000000,32.339308,60.573253
2,1.154000,0,14,-7562.134093,-5710.655754,-10648.817819,0.992000,47.682782,6.351800
3,1.158000,0,14,-7082.088362,-4549.014633,-10383.457625,0.984064,69.580454,35.935928
4,1.151000,0,14,-6600.607958,-4750.429208,-9468.567418,0.976191,87.204463,74.411348
5,1.154000,0,14,-5490.466872,-3876.803490,-6907.202033,0.968382,119.741399,35.715571
6,1.146000,0,14,-5419.222677,-3211.332118,-10878.112852,0.960635,151.593120,47.720112
7,1.146000,0,14,-5405.426363,-3570.735543,-10765.189020,0.952950,133.485029,30.341425
8,1.158000,0,14,-4148.006294,-2025.972884,-6055.058474,0.945326,214.923630,535.563262
9,1.169000,0,14,-2952.563586,-2124.187416,-3829.361699,0.937764,207.664770,30.315868
10,1.184000,0,14,-3034.267336,-1289.386601,-4584.587198,0.930262,251.716761,30.248039
11,1.175000,0,14,-2086.604081,-454.587674,-3555.645175,0.922819,288.427580,42.983973
12,1.191000,0,14,-3084.314829,-1062.161102,-15597.062481,0.915437,319.384112,2962.620718
13,1.182000,0,14,-1868.956007,-643.639366,-2826.163233,0.908113,287.766005,23.414049
14,1.179000,0,14,-3372.914582,-581.264746,-11757.735832,0.900848,349.725969,488.027776
15,1.163000,0,14,-2203.673340,-212.463432,-3856.473468,0.893642,320.016129,21.585018
16,1.178000,0,14,-1488.284345,988.617512,-4110.574316,0.886493,335.216663,60.304972
17,1.188000,0,14,-3860.601776,-1357.070192,-8343.843056,0.879401,348.850696,3916.425708
18,1.170000,1,14,-4070.078528,5950.794771,-10759.840642,0.872365,427.135373,504.421332
19,1.194000,5,14,1093.706460,7985.820041,-7310.270334,0.865386,527.943221,317419.400827
20,1.161000,7,14,1480.189178,8744.160425,-4691.225793,0.858463,677.017752,1996.740405
21,1.141000,10,14,3676.197841,7534.557227,-6798.533813,0.851596,658.749642,1323.995573
22,1.052000,14,14,5606.201994,9826.488246,-2413.458696,0.844783,776.920567,710.283624
23,1.011000,14,14,5737.194921,9134.057483,464.406397,0.838025,781.498881,845066.113592
24,0.972000,14,14,5274.931361,8255.225826,1261.165763,0.831320,954.663500,858.437850
25,0.933000,14,14,4988.286327,8153.749420,1941.413815,0.824670,1081.484325,484796.773064
26,0.881000,14,14,8036.560757,10424.095164,5212.059713,0.818073,1099.379274,74.965577
27,0.872000,14,14,7432.500153,10385.574711,1917.875162,0.811528,1055.386742,741910.575401
28,1.124000,4,14,-632.522945,7415.426313,-9644.898196,0.805036,1188.587247,1128.662006
29,1.159000,3,14,-2077.447601,5711.007399,-11450.470808,0.798595,926.966399,1781.600621
30,1.065000,11,14,4319.931143,8050.310081,-600.819928,0.792207,1077.286597,243867.676365
31,0.867000,14,14,7135.131303,9183.803852,3834.653864,0.785869,1167.388794,1032.459784
32,0.955000,12,14,5008.283416,9738.525218,-4644.786340,0.779582,1308.099257,216151.079779
33,0.802000,14,14,7885.777723,10202.846300,5003.488141,0.773345,1237.822308,685050.542958
34,0.650000,14,14,7795.063646,9160.779990,5348.232078,0.767159,1428.918899,402711.791264
35,0.728000,14,14,9023.675904,11566.910562,7275.834235,0.761021,1385.339511,210978.794239
36,0.700000,14,14,8526.649798,10785.469937,4411.845537,0.754933,1504.529672,193261.885169
37,0.621000,14,14,7277.503643,10610.238515,-4344.235167,0.748894,1501.944905,584052.356349
38,0.717000,14,14,7615.656722,10391.157858,1592.224521,0.742903,1559.406803,561369.981023
39,0.671000,14,14,8933.031486,10924.754659,7448.707369,0.736959,1638.464539,179635.330980
40,0.581000,14,14,9477.768473,10888.261511,7252.277874,0.731064,1621.973933,374146.989239
41,0.747000,14,14,8492.006530,10929.618836,1853.731927,0.725215,1731.565352,355258.898815
42,0.619000,14,14,8171.828820,11097.158456,4138.820913,0.719413,1714.310846,173357.562016
43,0.628000,14,14,6965.732183,11923.957772,-4556.355802,0.713658,1510.456464,511.742293
44,0.523000,14,14,10545.013860,12944.482895,6724.162802,0.707949,1528.084165,936.092457
45,0.531000,14,14,9127.292379,11375.601544,5086.678076,0.702285,1546.900226,772761.496918
46,0.515000,14,14,10219.515600,12153.133259,8574.368096,0.696667,1673.113824,177129.154563
47,0.593000,14,14,3339.451168,13154.760992,-13920.389208,0.691094,1498.447947,805067.181194
48,0.838000,14,14,7371.766678,10694.312720,4552.462199,0.685565,1614.745938,2339.163652
