episode,time_s,cars_completed,total_cars,average_reward,best_reward,worst_reward,epsilon,max_q,loss
1,0.968000,0,14,-8600.457881,-6643.761797,-11755.508840,1.000000,18.271112,57.905153
2,1.174000,0,14,-8127.593103,-5613.887615,-11210.982944,0.992000,58.545577,55.258194
3,1.170000,0,14,-6580.142553,-4499.077414,-9279.890552,0.984064,91.297319,28.140358
4,1.168000,0,14,-6579.388811,-5181.389215,-8132.116079,0.976191,97.471172,44.828619
5,1.163000,0,14,-5577.595942,-4328.104916,-7528.453078,0.968382,119.855224,58.919026
6,1.171000,0,14,-4739.490832,-3624.038726,-5683.103405,0.960635,149.442368,33.157151
7,1.166000,0,14,-6545.990931,-3779.637148,-19445.583594,0.952950,97.301033,19.662900
8,1.172000,0,14,-4034.235899,-2561.351111,-5327.505529,0.945326,174.779729,40.484025
9,1.178000,0,14,-2851.508140,-1368.306634,-5252.246924,0.937764,242.921286,41.601642
10,1.190000,0,14,-2548.111538,-1149.126162,-4155.978864,0.930262,248.353975,31.848859
11,1.195000,0,14,-2198.697112,-427.959220,-5227.071496,0.922819,261.764385,59.845074
12,1.198000,0,14,-1984.309638,-444.623209,-3965.444978,0.915437,293.235539,570.934685
13,1.183000,0,14,-1617.486199,-287.980561,-4947.229693,0.908113,350.736423,126.729724
14,1.173000,0,14,-2749.901646,-207.302985,-5621.574162,0.900848,309.652244,64.708003
15,1.182000,0,14,-5356.745879,-141.003567,-16766.900108,0.893642,354.048515,1448.329898
16,1.200000,0,14,-3928.857129,9.954153,-9154.814833,0.886493,426.791040,1229.653515
17,1.195000,0,14,-3451.348070,965.473850,-9969.402779,0.879401,456.121723,418.696728
18,1.171000,2,14,-4493.534024,862.638479,-11305.967545,0.872365,479.874116,325113.526740
19,1.153000,9,14,820.818268,6979.905672,-6087.221846,0.865386,591.654026,1290.555967
20,1.139000,11,14,2524.982652,8410.373106,-4162.301036,0.858463,690.305182,832.431846
21,1.088000,14,14,3132.687842,8155.428364,-5071.354166,0.851596,831.033463,283201.621102
22,1.082000,10,14,1742.062092,8605.697778,-7506.838556,0.844783,929.577798,262033.393154
23,1.185000,1,14,-4089.655464,881.874972,-8469.912284,0.838025,631.298545,1221.285560
24,0.976000,14,14,5225.292420,10487.746249,1808.048106,0.831320,769.848574,283043.797638
25,1.060000,11,14,2532.391513,6373.254070,-4835.263731,0.824670,1082.531521,1249.468739
26,0.973000,14,14,5532.342356,9494.222538,1928.846028,0.818073,1160.475501,232380.700017
27,0.972000,14,14,6266.532208,8719.348892,2796.444136,0.811528,1301.880564,825.989648
28,0.924000,14,14,5873.128746,10352.871633,2281.941879,0.805036,1342.121308,1116.881823
29,0.853000,14,14,6937.192977,10645.548309,5033.423436,0.798595,1272.745330,1865.128452
30,0.835000,14,14,6428.674428,10232.245690,1733.567480,0.792207,1407.536449,208184.045845
31,0.885000,14,14,6527.535764,10761.073098,3254.185869,0.785869,1504.627857,828183.715229
32,1.004000,9,14,3078.656004,10314.427061,-10194.526940,0.779582,1499.044664,574.863540
33,1.063000,8,14,4157.590503,10873.949271,-2558.963129,0.773345,1319.347598,767.653886
34,0.956000,14,14,6764.273049,9640.352313,4422.844427,0.767159,1466.485625,1070.804407
35,0.730000,14,14,7789.781480,9147.238758,4354.376991,0.761021,1344.930042,211660.408280
36,0.773000,14,14,7628.021152,10742.648294,-5471.288063,0.754933,1497.794619,394105.889266
37,0.768000,14,14,10521.149873,12131.990659,7366.044155,0.748894,1532.426006,1472.522390
38,0.610000,14,14,8352.067704,12542.923377,-1038.074474,0.742903,1571.194573,2122.570272
39,0.660000,14,14,9696.206334,11279.102243,7449.108111,0.736959,1663.277573,527721.938804
40,0.578000,14,14,10210.536705,12451.729207,7697.196644,0.731064,1692.689614,177579.948739
41,0.533000,14,14,9590.099013,11634.409415,5772.271641,0.725215,1689.668355,891.971513
42,0.526000,14,14,8446.544091,10212.558132,3156.496178,0.719413,1636.754276,201714.347837
43,0.528000,14,14,9437.997393,11459.153108,1786.652797,0.713658,1825.652443,159902.256864
44,0.589000,14,14,8500.538041,11555.536786,-55.289905,0.707949,1900.263743,321662.339529
45,0.547000,14,14,7620.161519,11468.666247,-8424.343031,0.702285,1853.536285,316871.742967
46,0.728000,14,14,8170.857761,13252.793338,2845.933645,0.696667,1854.564918,322681.428513
47,0.664000,14,14,7211.830539,12613.465869,-6903.517537,0.691094,1617.668933,2433.623268
48,0.568000,14,14,9755.304222,12419.756354,5652.680295,0.685565,1641.794449,686.177840
49,0.452000,14,14,10900.237435,13215.364541,9130.397843,0.680080,1604.317218,183225.713843
50,0.446000,14,14,11061.398319,12753.113870,10052.700363,0.674640,1658.470825,368685.989885
51,0.399000,14,14,11815.872260,13467.380464,10176.870693,0.669243,1727.442985,341800.414809
52,0.440000,14,14,11045.159631,12485.698825,9209.203728,0.663889,1651.367040,1479.724111
53,0.416000,14,14,11486.022480,13255.473098,9415.440844,0.658578,1704.010492,179908.572802
54,0.406000,14,14,12311.789617,13823.331435,9406.313091,0.653309,1664.770347,188458.568041
55,0.424000,14,14,11929.075011,13440.924487,10037.082193,0.648083,1735.975427,169856.633911
56,0.378000,14,14,11298.438008,13038.077554,9111.562825,0.642898,1794.070480,324700.937566
57,0.365000,14,14,10383.337151,13327.328927,1788.860352,0.637755,1707.909593,170936.190700
58,0.389000,14,14,12022.049389,13311.157138,10147.185674,0.632653,1744.785784,340035.483118
59,0.350000,14,14,12164.925794,13490.774559,10575.058952,0.627591,1783.723208,328537.197515
60,0.382000,14,14,11688.149344,13046.061928,10642.319682,0.622571,1844.155697,157424.981903
61,0.382000,14,14,11872.169755,13020.058942,7768.113819,0.617590,1883.782068,341615.827938
62,0.342000,14,14,11763.330831,13910.651028,10284.094102,0.612649,1938.677421,607802.924128
63,0.307000,14,14,12719.868812,13971.473967,9770.848587,0.607748,2033.959315,140099.721734
64,0.310000,14,14,11521.386900,13296.175822,6932.889966,0.602886,2014.052871,741001.897398
65,0.321000,14,14,11645.424588,13249.203712,5679.881401,0.598063,2091.610962,134464.362584
66,0.393000,14,14,10106.428219,13788.424994,4447.456064,0.593279,1996.955555,320222.085143
67,0.288000,14,14,13231.462265,13941.060876,11265.023023,0.588532,2022.835586,378720.571616
68,0.291000,14,14,12526.473446,14098.992060,10286.059053,0.583824,2082.239232,420.658847
69,0.286000,14,14,12781.122807,13889.900989,10454.122610,0.579154,2141.513298,132819.582651
70,0.281000,14,14,12186.384245,13651.497389,10104.171261,0.574520,2180.051894,129777.818000
71,0.298000,14,14,12490.880778,13277.840908,11558.224928,0.569924,2165.083467,276486.082789
72,0.283000,14,14,12526.987510,13921.449500,10795.974552,0.565365,2177.324744,257135.364008
73,0.247000,14,14,12898.726188,14110.839795,11096.287716,0.560842,2185.382996,130378.241759
74,0.257000,14,14,12449.119258,13838.833367,11641.929394,0.556355,2320.968086,120656.651246
75,0.277000,14,14,8061.766126,13716.669993,-5500.280151,0.551904,2337.508665,2699.458733
76,0.314000,14,14,12165.582999,13615.345600,11071.237429,0.547489,2363.336949,335269.441739
77,0.304000,14,14,10184.137436,14134.037366,-13994.100051,0.543109,2314.930567,410207.430188
78,0.275000,14,14,4895.904051,13535.254667,-8316.004560,0.538764,2228.605337,264842.970528
79,0.277000,14,14,13247.526629,14367.320508,11718.572300,0.534454,2350.634762,262275.869710
80,0.276000,14,14,12478.640151,13949.304737,10384.412175,0.530178,2168.025493,258730.106580
81,0.239000,14,14,13279.556766,14340.486074,11462.437270,0.525937,2204.574317,253319.846339
82,0.235000,14,14,12729.807854,13810.509019,8773.674664,0.521730,2249.298960,126860.004245
83,0.308000,14,14,9031.369014,14325.502569,-30522.517921,0.517556,2310.828968,232812.155557
84,0.398000,14,14,10327.804656,13051.008913,7332.225426,0.513415,2335.231841,11295.397784
85,0.214000,14,14,12977.638185,14083.801468,11638.289170,0.509308,2370.249134,118630.548787
86,0.207000,14,14,8936.037355,14168.762548,-3616.992062,0.505233,2382.535005,126627.598731
87,0.194000,14,14,12966.548734,13754.942939,11230.157514,0.501192,2409.513385,219419.793910
88,0.199000,14,14,13286.346010,14028.166907,11309.284328,0.497182,2259.470986,121151.634631
89,0.176000,14,14,13395.306169,14039.058680,11972.118190,0.493205,2305.920243,354390.138441
90,0.199000,14,14,12986.498958,13624.474854,11926.482721,0.489259,2410.133120,329808.417704
91,0.179000,14,14,13309.611847,14072.718598,12259.342870,0.485345,2449.444493,212552.678100
92,0.183000,14,14,13405.020486,14163.720240,12574.639655,0.481462,2509.288801,104489.007317
93,0.202000,14,14,11908.665719,14410.848154,8000.094008,0.477610,2554.014419,101957.975789
94,0.159000,14,14,11201.368569,14023.410178,2911.320015,0.473790,2595.638175,96610.528536
95,0.176000,14,14,13198.536572,14166.326995,12127.252423,0.469999,2637.320715,1418.279240
96,0.167000,14,14,13310.827311,14075.081050,12097.591908,0.466239,2710.650360,3919.878012
97,0.162000,14,14,13298.230670,14534.983887,12231.184775,0.462509,2759.539825,109342.855839
98,0.178000,14,14,4111.292175,14396.759375,-43149.649361,0.458809,2528.797112,7341.997627
99,0.154000,14,14,13451.504276,14378.277049,11383.016234,0.455139,2842.541277,98090.130104
100,0.156000,14,14,12730.725755,14184.054896,8231.939463,0.451498,2606.823436,3211.311191
101,0.160000,14,14,13544.810600,14205.492197,12561.475509,0.447886,2653.745601,97101.261738
102,0.149000,14,14,13363.215788,14551.590010,12370.170770,0.444303,2688.409718,186479.530159
103,0.150000,14,14,13459.887529,14175.205060,12337.978898,0.440748,3022.822202,165712.219385
104,0.142000,14,14,12770.565576,14407.897171,8929.705554,0.437222,3078.512799,166543.234968
105,0.173000,14,14,5636.926218,13162.213820,-12721.283025,0.433724,3010.726177,197229.565042
106,0.151000,14,14,13494.159660,14446.651209,12393.456743,0.430255,3274.156427,141402.043458
107,0.151000,14,14,13502.974187,14505.369228,12315.441179,0.426813,3262.937790,5446.344624
108,0.113000,14,14,13598.934096,14570.415805,12478.170554,0.423398,2984.831547,70723.045971
